 offer_id |                      pickup_address                       |                  dropoff_address                   |        pickup_time         |        dropoff_time        | dropoff_error_m | dropoff_classification | confidence | verdict | hex_hourly | radar_hourly | delta  | radar_confidence |  pin_vs_actual_m   
     5781 | Lyerly St, Houston, Texas                                 | Airline Dr & E 29th St, Houston, Texas             |                            |                            |                 |                        | high       | DECLINE | 19.35      | 19.35        | 0.0    | low              |                   
     5782 | Milam St & St Joseph Pkwy, Houston, Texas                 | niv richmond ave., Houston, Texas                  |                            |                            |                 |                        | high       | DECLINE | 10.31      | 16.76        | 6.45   | low              |                   
     5783 | Allen Pkwy & Damico St, Houston, Texas                    | Dryden Rd & Fannin St, Houston, Texas              |                            |                            |                 |                        | high       | DECLINE | 20.54      | 20.57        | 0.03   | low              |                   
     5784 | Commonwealth St & Peden St, Houston, Texas                | Bastrop St & Walker Ave, Houston, Texas            |                            |                            |                 |                        | high       | ACCEPT  | 31.4       | 20.38        | -11.02 | medium           |                   
     5785 | Grant St & Pacific St, Houston, Texas                     | Larkwood Dr, Houston, Texas                        |                            |                            |                 |                        | medium     | DECLINE | 13.06      | 16.16        | 3.1    | medium           |                   
     5786 | Grant St & Pacific St, Houston, Texas                     | Larkwood Dr, Houston, Texas                        |                            |                            |                 |                        | high       | DECLINE | 13.07      | 19.05        | 5.98   | medium           |                   
     5787 | Studewood St & VWhite Oak Dr, Houston, Texas              | N Durham Dr & W 26th St, Houston, Texas            |                            |                            |                 |                        | high       | DECLINE | 17.55      | 17.55        | 0.0    | low              |                   
     5788 | Fannin St, Houston, Texas                                 | R John Ralston Rd, Houston, Texas                  |                            |                            |                 |                        | high       | DECLINE | 5.39       | 16.76        | 11.37  | low              |                   
     5789 | Taft St & W Pierce St, Houston, Texas                     | Tirrell St & W Dallas Ave, Houston, Texas          | 2026-04-15 21:03:18.501348 | 2026-04-16 02:08:09.34642  |           401.2 | on_target              | high       | ACCEPT  | 21.84      | 18.99        | -2.85  | low              |       401.19074636
     5790 | McDuffie St & Peden St, Houston, Texas                    | N Shepherd Dr, Houston, Texas                      | 2026-04-15 21:10:18.045913 | 2026-04-16 02:12:56.801305 |    606.21716412 | watchdog_b             | high       | ACCEPT  | 25.02      | 21.4         | -3.62  | low              |       8283.8293007
     5791 | W 20th St, Houston, Texas                                 | Southwest Fwy, Houston, Texas                      |                            |                            |                 |                        | high       | ACCEPT  | 37.33      | 19.76        | -17.57 | low              |                   
     5792 | W 20th St, Houston, Texas                                 | Southwest Fwy, Houston, Texas                      | 2026-04-16 02:50:35.171155 | 2026-04-16 03:04:57.207383 |          2503.1 | miss                   | medium     | ACCEPT  | 37.33      | 15.76        | -21.57 | low              |                   
     5793 | Royal Dr, Stafford, Texas                                 | Huntington Glen Dr & Keegan Rd, Houston, Texas     |                            |                            |                 |                        | high       | DECLINE | 22.91      | 22.27        | -0.64  | low              |                   
     5794 | Dunlap St & Fonmeadow Dr, Houston, Texas                  | E Orem Dr, Houston, Texas                          |                            |                            |                 |                        | high       | DECLINE | 30.42      | 27.75        | -2.67  | low              |                   
     5795 | lowa Ln & Martin Ridge Dr, Manvel, Texas                  | Pease St & Roberts St, Houston, Texas              |                            |                            |                 |                        | low        | DECLINE | 32.48      | 32.48        | 0.0    | low              |                   
(57 rows)

