X,Y,OBJECTID,SignalID,Locaction_Name,Type_,Status,Turn_on_Date,Precinct,Latitude,Longitude,Billing_Addr,Shape
3101182.5291146,13951183.6470147,997,TCS-1008,East Cypresswood Dr @ Lexington Rd,Traffic Control Signal,Active,2017/08/15 00:00:00+00,3,30.062375,-95.418848,1214« East Cypresswood Drive,
3037069.94211695,13937804.9244284,998,TCS-1009,Northpointe Blvd @ Northpointe Terrace Dr,Traffic Control Signal,Active,2017/05/09 00:00:00+00,4,30.030847,-95.622655,12614« Northpointe Boulevard,
3044367.7907102,13895274.5875732,999,TCS-1010,North Eldridge Pkwy @ Paddock Way,Traffic Control Signal,Active,2017/08/16 00:00:00+00,3,29.913364,-95.603505,9600« North Eldridge Parkway,
3035498.15589045,13928639.0346237,1000,TCS-1011,Spring Cypress Rd @ Northpointe Lakes Blvd,Traffic Control Signal,Active,2019/04/30 00:00:00+00,3,30.005778,-95.628455,13531« Spring Cypress Road,
3032040.17396128,13818198.4392323,1001,TCS-1012,Bellaire Blvd @ Marchena Dr,Traffic Control Signal,Active,2019/05/21 00:00:00+00,4,29.702473,-95.649371,14861« Bellaire Boulevard,
3073018.97159669,13962907.7065718,1002,TCS-1013,Gosling Rd @ Root Rd & Hassler Rd,Traffic Control Signal,Active,2020/07/22 00:00:00+00,3,30.09694,-95.506731,5706« Root Road,
3073800.03237052,13943631.4301638,1003,TCS-1014,Spring Cypress Rd @ Senterra Lakes Blvd,Traffic Control Signal,Active,2019/08/28 00:00:00+00,3,30.043895,-95.506083,5518« Spring Cypress Road,
3052011.25311352,13872559.2045263,1004,TCS-1015,Tanner Rd @ Cunningham Rd,Traffic Control Signal,Active,2020/06/16 00:00:00+00,3,29.850313,-95.581484,5701« Cunningham Road,
3009681.88698503,13904202.155676,1005,TCS-1016,Cypress North Houston Rd @ Cypress Creek Bend Dr,Traffic Control Signal,Active,2019/03/28 00:00:00+00,3,29.940629,-95.712157,19200« Cypress North Houston Road,
3173553.29152502,13920713.4937163,1006,TCS-1017,Timber Forest Dr @ Eagle Springs Pkwy,Traffic Control Signal,Active,2019/07/25 00:00:00+00,3,29.972346,-95.193328,17501« Timber Forest Drive,
3173655.51048069,13918693.0774815,1007,TCS-1018,Timber Forest Dr @ Valley Lodge Pkwy & Sashta Falls Ln,Traffic Control Signal,Active,2019/07/25 00:00:00+00,3,29.966784,-95.193213,16446« Timber Forest Drive,
3173795.53447886,13915025.2888854,1008,TCS-1019,Timber Forest Dr @ Madera Run Pkwy,Traffic Control Signal,Active,2019/07/25 00:00:00+00,3,29.956691,-95.193148,,
3099091.11761503,13897435.2292493,1009,TCS-1020,West Rd @ Ella Blvd,Traffic Control Signal,Active,2018/08/17 00:00:00+00,2,29.914822,-95.430641,10103« Ella Boulevard,
3179309.7688572,13919044.6312404,1010,TCS-1021,Madera Run Pkwy @ Kings Park Way & Cathedral Pines Dr,Traffic Control Signal,Active,2021/05/13 00:00:00+00,3,29.967243,-95.175329,13401« Madera Run Parkway,
3018502.73712544,13916760.5603492,1011,TCS-1022,Spring Cypress Rd @ Woods-Spillane Blvd & Dry Creek Ranch Rd,Traffic Control Signal,Active,2019/08/14 00:00:00+00,3,29.974464,-95.683193,13705« Woods Spillane Boulevard,
3227795.14498337,13895765.515069,1012,TCS-1023,Bohemian Hall Rd @ Krenek Rd,Traffic Control Signal,Active,2019/03/14 00:00:00+00,3,29.898819,-95.024789,14635« Bohemian Hall Road,
2986260.17890728,13858552.4881173,1013,TCS-1024,Morton Ranch Rd @ Porter Rd & Katy Oaks Blvd,Traffic Control Signal,Active,2019/11/04 00:00:00+00,4,29.816934,-95.790036,24001« Morton Ranch Road,
3077967.8928012,13941573.9526514,1014,TCS-1025,Louetta Rd @ Strack Rd,Traffic Control Signal,Active,2019/08/29 00:00:00+00,3,30.037897,-95.493111,5103« Louetta Road,
3132298.18341862,13894044.471267,1015,TCS-1026,Aldine Mail Route Rd @ Determined Dr,Traffic Control Signal,Active,2017/05/08 00:00:00+00,2,29.902675,-95.326208,3998« Aldine Mail Route Rd,
3059209.78169544,13979433.6105278,1016,TCS-1027,Kuykendahl Rd @ Mid-Block Pedestrian Crossing,Traffic Control Signal,Active,2018/01/30 00:00:00+00,3,30.143488,-95.548838,26557« Kuykendahl Road,
3060361.04054777,13825120.4965824,1017,TCS-1028,Westpark Towway Entrance Ramp @ Rogerdale Rd,Traffic Control Signal,Active,,,29.71924,-95.559557,905« Rogerdale Road,
2996951.90129019,13897013.9446588,1018,TCS-1029,Mason Rd @ Tuckerton Rd,Traffic Control Signal,Active,2019/10/02 00:00:00+00,3,29.921848,-95.752965,10006« Mason Road,
3223366.33166252,13808365.6885567,1019,TCS-1030,Bay Area Blvd @ Morgan's Landing Blvd,Traffic Control Signal,Active,2020/12/08 00:00:00+00,2,29.659021,-95.048078,3501« Bay Area Boulevard,
3004728.74892545,13864261.5127884,1020,TCS-1031,Clay Rd @ Raintree Village Dr,Traffic Control Signal,Active,2019/11/13 00:00:00+00,4,29.831221,-95.731314,20503« Clay Road,
3065605.08681819,13938374.6211236,1021,TCS-1032,Stuebner Airline Rd @ Theisswood Rd,Traffic Control Signal,Active,2001/11/08 00:00:00+00,3,30.030117,-95.532465,17621« Stuebner Airline Road,
3095408.02196287,13966679.0405645,1022,TCS-1033,IH 45 Frontage Rds @ Springwoods Village Pkwy,Traffic Control Signal,Active,2018/08/22 00:00:00+00,3,30.105448,-95.435601,28513« # 1 Hardy Toll Road,
3164456.8671326,13892399.1238359,1023,TCS-1034,North Lake Houston Pkwy @ West Lake Houston Pkwy,Traffic Control Signal,Active,2021/11/18 00:00:00+00,1,29.895337,-95.224929,11851« North Lake Houston Parkway,
3013657.80783895,13869569.9621453,1024,TCS-1035,Greenhouse Rd @ Old Greenhouse Rd,Traffic Control Signal,Active,2020/02/25 00:00:00+00,4,29.845124,-95.702691,4876« Greenhouse Road,
3180574.17019978,13870281.9564562,1025,TCS-1036A,Sam Houston Tollway East @ US 90 (Northside),Traffic Control Signal,Active,2009/02/24 00:00:00+00,,29.833109,-95.176372,13902« US 90 Frontage Road,
3180886.14792228,13869928.3236333,1026,TCS-1036B,Sam Houston Tollway East @ US 90 (Southside),Traffic Control Signal,Active,2009/02/24 00:00:00+00,,29.832109,-95.175425,13902« US 90 Frontage Road,
3221177.56405844,13780336.9542599,1027,TCS-1037,Kirby Rd @ Old Kirby Rd,Traffic Control Signal,Active,2020/05/07 00:00:00+00,2,29.582186,-95.05794,1150« Kirby Road,
3025223.43693861,13877153.0673859,1028,TCS-1038,West Little York Rd @ Westminster Village Dr,Traffic Control Signal,Active,2020/02/04 00:00:00+00,4,29.865067,-95.665541,16890« West Little York Road,
3099190.14005478,13901323.1506073,1029,TCS-1039,Ella Blvd @ Fallbrook Dr,Traffic Control Signal,Active,2020/04/08 00:00:00+00,2,29.9255,-95.429954,10395« Ella Boulevard,
2991998.19039711,13850332.6407119,1030,TCS-1040,Colonial Pkwy @ Partnership Way,Traffic Control Signal,Active,2020/02/27 00:00:00+00,4,29.793904,-95.772663,23101« Partnership Way,
